name,handle,bio,url,platform,dm,title,location,followers,profile_url,contact_info,search_term,extraction_method,relevance_score
About Instagram Com,@about.instagram.com,Instagram creator interested in pastry chef,https://about.instagram.com/,instagram,Hey there! 👋 Just wanted to slide into your DMs and connect with some awesome like-minded pros! 🌟 Let’s stay in touch and share some good vibes! 💬✨ Looking forward to connecting! 💖,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://about.instagram.com/,Contact not available,pastry chef,Profile Links,6
Blog,@blog,Instagram creator interested in pastry chef,https://about.instagram.com/blog/,instagram,Hey there! 👋✨ Just sliding into your DMs to connect with some awesome like-minded peeps! 💼💖 Looking forward to vibing and staying in touch! Let’s inspire each other! 🌟🙌 #NetworkingGoals,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://about.instagram.com/blog/,Contact not available,pastry chef,Profile Links,6
Careers,@careers,Instagram creator interested in pastry chef,https://about.instagram.com/about-us/careers,instagram,Hey there! 👋 Just wanted to slide into your DMs and connect with some awesome professionals like you! 🌟 Let’s inspire each other and stay in touch! 💼✨ Hope you’re having a great day! 😊,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://about.instagram.com/about-us/careers,Contact not available,pastry chef,Profile Links,6
Help Instagram Com,@help.instagram.com,Instagram creator interested in pastry chef,https://help.instagram.com/,instagram,Hey there! 👋✨ So glad you reached out! I love connecting with awesome people in the industry. Let’s stay in touch and share some inspo! 💡🌟 Can’t wait to see what you’re up to! 💖🙌 #NetworkingGoals,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://help.instagram.com/,Contact not available,pastry chef,Profile Links,6
Privacy,@privacy,Instagram creator interested in pastry chef,https://instagram.com/legal/privacy/,instagram,Hey Privacy! 🌟 Just sliding into your DMs to connect with some awesome like-minded pros! 🤝✨ Can’t wait to stay in touch and share some good vibes! 🙌💬 #NetworkingGoals,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/legal/privacy/,Contact not available,pastry chef,Profile Links,6
Health Privacy Policy,@health_privacy_policy,Instagram creator interested in pastry chef,https://instagram.com/legal/privacy/health_privacy_policy/,instagram,你好！👋 我注意到你对糕点制作的热情，真是太棒了！🍰 作为一个同样喜欢美食的人，我想了解你最喜欢的糕点是什么？期待你的分享！✨ 祝你有个愉快的一天！,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/legal/privacy/health_privacy_policy/,Contact not available,pastry chef,Profile Links,6
Terms,@terms,Instagram creator interested in pastry chef,https://instagram.com/legal/terms/,instagram,Hey Terms! 👋✨ Just wanted to slide into your DMs and connect with some like-minded pros! 🤝💼 Can’t wait to see what amazing things we can share and learn from each other! Let’s stay in touch! 🌟💬 #Ne...,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/legal/terms/,Contact not available,pastry chef,Profile Links,6
Locations,@locations,Instagram creator interested in pastry chef,https://instagram.com/explore/locations/,instagram,Hey Locations! 👋✨ Just popping in to connect with some like-minded pros! 🌟 Can't wait to stay in touch and share some good vibes! 💬📸 Let’s inspire each other! 💖 #Networking 💼,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/explore/locations/,Contact not available,pastry chef,Profile Links,6
Lite,@lite,Instagram creator interested in pastry chef,https://instagram.com/web/lite/,instagram,"你好，Lite！😊

我看到你对甜点的热情真是太棒了！🍰 作为一个甜品爱好者，我很喜欢你的创意和作品。有没有什么特别的食谱或者甜点想和大家分享呢？期待你的精彩分享！祝你今天愉快！✨

加油！💪",Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/web/lite/,Contact not available,pastry chef,Profile Links,6
Meta Verified,@meta_verified,Instagram creator interested in pastry chef,https://instagram.com/meta_verified,instagram,"Hey Meta! 😊 Just sliding into your DMs to connect with some awesome, like-minded pros! 💼✨ Can’t wait to share ideas and vibes! Let’s stay in touch! 🙌🌟",Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/meta_verified,Contact not available,pastry chef,Profile Links,6
Instagram Com,@instagram.com,Instagram creator interested in pastry chef,https://instagram.com/,instagram,"Hey there! 🌟 Just sliding into your DMs to connect with some awesome, like-minded pros! 🤝💼 Let’s stay in touch and share some good vibes! ✨ Looking forward to seeing your content! 🙌💖 #Networking #G...",Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/,Contact not available,pastry chef,Profile Links,6
Explore,@explore,Instagram creator interested in pastry chef,https://instagram.com/explore,instagram,Hey Explore! 👋✨ Just wanted to slide into your DMs and connect with some awesome like-minded pros! 💼💖 Can't wait to stay in touch and share some inspo! 🌟 Let’s vibe! 🙌 #Networking 😊,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/explore,Contact not available,pastry chef,Profile Links,6
Reels,@reels,Instagram creator interested in pastry chef,https://instagram.com/reels,instagram,Hey Reels! 👋✨ Just wanted to slide into your DMs and connect with some awesome like-minded pros! 🌟 Let’s keep in touch and maybe collab on something fun! 🤝💫 Can’t wait to see what we can create tog...,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/reels,Contact not available,pastry chef,Profile Links,6
Inbox,@inbox,Instagram creator interested in pastry chef,https://instagram.com/direct/inbox/,instagram,Hey there! 🌟 Just sliding into your DMs to connect with some awesome like-minded peeps! 💬✨ Let’s stay in touch and share some good vibes! Looking forward to it! 🙌💖,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/direct/inbox/,Contact not available,pastry chef,Profile Links,6
Messages,@messages,Instagram creator interested in pastry chef,https://instagram.com/messages,instagram,Hey there! 👋 Just sliding into your DMs to connect with some awesome like-minded pros! 💼✨ Let’s keep the convo going and inspire each other! 💬💕 Looking forward to staying in touch! 🌟 #NetworkingGoals,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/messages,Contact not available,pastry chef,Profile Cards,6
About Meta Com,@about.meta.com,Instagram creator interested in pastry chef,https://about.meta.com/,instagram,Hey there! 👋 Just sliding into your DMs to connect with some awesome like-minded peeps! 💫 Let’s stay in touch and share some good vibes! 🌟✨ Looking forward to seeing your content! 📸💖,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://about.meta.com/,Contact not available,pastry chef,User Links,6
